Benchmark,avgDegree,concurrency,dampingFactor,nodeCountIterationCombinations,orientation,tolerance,Mode,Cnt,Score,Error,Units
pageRank.PageRankPregelBenchmark.pregel,4,1,0.85,0.1M;20,Natural,1e-32,avgt,10,2318.239,91.328,ms/op
pageRank.PageRankPregelBenchmark.pregel,4,1,0.85,0.5M;20,Natural,1e-32,avgt,10,18893.910,753.395,ms/op
pageRank.PageRankPregelBenchmark.pregel,4,1,0.85,1M;20,Natural,1e-32,avgt,10,53175.935,3965.450,ms/op
pageRank.PageRankPregelBenchmark.pregel,4,1,0.85,1M;5,Natural,1e-32,avgt,10,11064.256,1339.758,ms/op
pageRank.PageRankPregelBenchmark.pregel,4,1,0.85,1M;10,Natural,1e-32,avgt,10,26851.991,4771.716,ms/op
pageRank.PageRankPregelBenchmark.pregel,4,1,0.85,1M;15,Natural,1e-32,avgt,10,39795.047,4820.131,ms/op
pageRank.PageRankPregelBenchmark.pregel,4,8,0.85,0.1M;20,Natural,1e-32,avgt,10,1857.263,117.664,ms/op
pageRank.PageRankPregelBenchmark.pregel,4,8,0.85,0.5M;20,Natural,1e-32,avgt,10,11892.420,1280.711,ms/op
pageRank.PageRankPregelBenchmark.pregel,4,8,0.85,1M;20,Natural,1e-32,avgt,10,29462.606,3674.943,ms/op
pageRank.PageRankPregelBenchmark.pregel,4,8,0.85,1M;5,Natural,1e-32,avgt,10,7355.421,547.229,ms/op
pageRank.PageRankPregelBenchmark.pregel,4,8,0.85,1M;10,Natural,1e-32,avgt,10,14572.574,1212.250,ms/op
pageRank.PageRankPregelBenchmark.pregel,4,8,0.85,1M;15,Natural,1e-32,avgt,10,24226.886,1667.032,ms/op
pageRank.PageRankGdsBenchmark.gds,4,1,0.85,0.1M;20,Undirected,1e-32,avgt,10,206.932,8.744,ms/op
pageRank.PageRankGdsBenchmark.gds,4,1,0.85,0.5M;20,Undirected,1e-32,avgt,10,1458.263,81.357,ms/op
pageRank.PageRankGdsBenchmark.gds,4,1,0.85,1M;20,Undirected,1e-32,avgt,10,2266.978,75.989,ms/op
pageRank.PageRankGdsBenchmark.gds,4,1,0.85,5M;20,Undirected,1e-32,avgt,10,11114.106,648.934,ms/op
pageRank.PageRankGdsBenchmark.gds,4,1,0.85,1M;5,Undirected,1e-32,avgt,10,525.496,18.789,ms/op
pageRank.PageRankGdsBenchmark.gds,4,1,0.85,1M;10,Undirected,1e-32,avgt,10,1101.200,21.980,ms/op
pageRank.PageRankGdsBenchmark.gds,4,1,0.85,1M;15,Undirected,1e-32,avgt,10,1696.419,44.450,ms/op
pageRank.PageRankGdsBenchmark.gds,4,8,0.85,0.1M;20,Undirected,1e-32,avgt,10,420.389,41.008,ms/op
pageRank.PageRankGdsBenchmark.gds,4,8,0.85,0.5M;20,Undirected,1e-32,avgt,10,1254.046,57.674,ms/op
pageRank.PageRankGdsBenchmark.gds,4,8,0.85,1M;20,Undirected,1e-32,avgt,10,1894.893,109.053,ms/op
pageRank.PageRankGdsBenchmark.gds,4,8,0.85,5M;20,Undirected,1e-32,avgt,10,6627.011,473.218,ms/op
pageRank.PageRankGdsBenchmark.gds,4,8,0.85,1M;5,Undirected,1e-32,avgt,10,473.939,22.484,ms/op
pageRank.PageRankGdsBenchmark.gds,4,8,0.85,1M;10,Undirected,1e-32,avgt,10,969.934,21.372,ms/op
pageRank.PageRankGdsBenchmark.gds,4,8,0.85,1M;15,Undirected,1e-32,avgt,10,1428.764,105.628,ms/op
pageRank.PageRankNativeBenchmark.jni,4,1,0.85,0.1M;20,Undirected,1e-32,avgt,10,122.486,0.507,ms/op
pageRank.PageRankNativeBenchmark.jni,4,1,0.85,0.5M;20,Undirected,1e-32,avgt,10,737.930,3.877,ms/op
pageRank.PageRankNativeBenchmark.jni,4,1,0.85,1M;20,Undirected,1e-32,avgt,10,1667.491,6.800,ms/op
pageRank.PageRankNativeBenchmark.jni,4,1,0.85,5M;20,Undirected,1e-32,avgt,10,15547.870,114.217,ms/op
pageRank.PageRankNativeBenchmark.jni,4,1,0.85,1M;5,Undirected,1e-32,avgt,10,515.757,3.432,ms/op
pageRank.PageRankNativeBenchmark.jni,4,1,0.85,1M;10,Undirected,1e-32,avgt,10,903.224,2.945,ms/op
pageRank.PageRankNativeBenchmark.jni,4,1,0.85,1M;15,Undirected,1e-32,avgt,10,1293.170,5.378,ms/op
pageRank.PageRankNativeBenchmark.jni,4,8,0.85,0.1M;20,Undirected,1e-32,avgt,10,114.187,4.931,ms/op
pageRank.PageRankNativeBenchmark.jni,4,8,0.85,0.5M;20,Undirected,1e-32,avgt,10,252.103,13.158,ms/op
pageRank.PageRankNativeBenchmark.jni,4,8,0.85,1M;20,Undirected,1e-32,avgt,10,496.444,2.551,ms/op
pageRank.PageRankNativeBenchmark.jni,4,8,0.85,5M;20,Undirected,1e-32,avgt,10,3602.134,202.570,ms/op
pageRank.PageRankNativeBenchmark.jni,4,8,0.85,1M;5,Undirected,1e-32,avgt,10,234.237,3.021,ms/op
pageRank.PageRankNativeBenchmark.jni,4,8,0.85,1M;10,Undirected,1e-32,avgt,10,309.647,3.407,ms/op
pageRank.PageRankNativeBenchmark.jni,4,8,0.85,1M;15,Undirected,1e-32,avgt,10,403.069,3.006,ms/op
pageRank.PageRankEjmlBenchmark.ejml,4,1,0.85,0.1M;20,Undirected,1e-32,avgt,10,51.529,0.363,ms/op
pageRank.PageRankEjmlBenchmark.ejml,4,1,0.85,0.5M;20,Undirected,1e-32,avgt,10,336.249,2.153,ms/op
pageRank.PageRankEjmlBenchmark.ejml,4,1,0.85,1M;20,Undirected,1e-32,avgt,10,719.231,8.407,ms/op
pageRank.PageRankEjmlBenchmark.ejml,4,1,0.85,5M;20,Undirected,1e-32,avgt,10,5654.305,156.787,ms/op
pageRank.PageRankEjmlBenchmark.ejml,4,1,0.85,1M;5,Undirected,1e-32,avgt,10,193.750,2.020,ms/op
pageRank.PageRankEjmlBenchmark.ejml,4,1,0.85,1M;10,Undirected,1e-32,avgt,10,378.589,4.376,ms/op
pageRank.PageRankEjmlBenchmark.ejml,4,1,0.85,1M;15,Undirected,1e-32,avgt,10,547.733,4.327,ms/op
pageRank.PageRankPregelBenchmark.pregel,4,1,0.85,0.1M;20,Undirected,1e-32,avgt,10,3717.781,152.281,ms/op
pageRank.PageRankPregelBenchmark.pregel,4,1,0.85,0.5M;20,Undirected,1e-32,avgt,10,25087.567,3989.699,ms/op
pageRank.PageRankPregelBenchmark.pregel,4,1,0.85,1M;20,Undirected,1e-32,avgt,10,61608.399,2913.646,ms/op
