Benchmark,avgDegree,concurrency,degreeDistribution,nodeCount,orientation,Mode,Cnt,Score,Error,Units
BfsEjmlBenchmark.ejmlSparseBfsParent,4,1,POWER_LAW,100000,UNDIRECTED,avgt,10,16.918,6.927,ms/op
BfsEjmlBenchmark.ejmlSparseBfsParent,4,1,POWER_LAW,500000,UNDIRECTED,avgt,10,96.362,10.374,ms/op
BfsEjmlBenchmark.ejmlSparseBfsParent,4,1,POWER_LAW,1000000,UNDIRECTED,avgt,10,290.370,135.442,ms/op
BfsEjmlBenchmark.ejmlSparseBfsParent,4,1,POWER_LAW,5000000,UNDIRECTED,avgt,10,1892.010,233.907,ms/op
BfsPregelBenchmark.pregelBfsLevel,4,1,POWER_LAW,100000,UNDIRECTED,avgt,10,240.605,19.736,ms/op
BfsPregelBenchmark.pregelBfsLevel,4,1,POWER_LAW,500000,UNDIRECTED,avgt,10,1277.913,14.448,ms/op
BfsPregelBenchmark.pregelBfsLevel,4,1,POWER_LAW,1000000,UNDIRECTED,avgt,10,3397.555,446.141,ms/op
BfsPregelBenchmark.pregelBfsLevel,4,1,POWER_LAW,5000000,UNDIRECTED,avgt,10,25166.592,1635.283,ms/op
BfsPregelBenchmark.pregelBfsLevel,4,8,POWER_LAW,100000,UNDIRECTED,avgt,10,187.550,9.470,ms/op
BfsPregelBenchmark.pregelBfsLevel,4,8,POWER_LAW,500000,UNDIRECTED,avgt,10,843.708,51.324,ms/op
BfsPregelBenchmark.pregelBfsLevel,4,8,POWER_LAW,1000000,UNDIRECTED,avgt,10,2127.408,140.501,ms/op
BfsPregelBenchmark.pregelBfsLevel,4,8,POWER_LAW,5000000,UNDIRECTED,avgt,10,16512.384,1375.156,ms/op
BfsPregelBenchmark.pregelBfsParent,4,1,POWER_LAW,100000,UNDIRECTED,avgt,10,236.304,11.021,ms/op
BfsPregelBenchmark.pregelBfsParent,4,1,POWER_LAW,500000,UNDIRECTED,avgt,10,1341.286,44.429,ms/op
BfsPregelBenchmark.pregelBfsParent,4,1,POWER_LAW,1000000,UNDIRECTED,avgt,10,2901.349,128.448,ms/op
BfsPregelBenchmark.pregelBfsParent,4,1,POWER_LAW,5000000,UNDIRECTED,avgt,10,23277.785,1344.434,ms/op
BfsPregelBenchmark.pregelBfsParent,4,8,POWER_LAW,100000,UNDIRECTED,avgt,10,178.932,12.256,ms/op
BfsPregelBenchmark.pregelBfsParent,4,8,POWER_LAW,500000,UNDIRECTED,avgt,10,920.447,88.016,ms/op
BfsPregelBenchmark.pregelBfsParent,4,8,POWER_LAW,1000000,UNDIRECTED,avgt,10,2065.536,175.593,ms/op
BfsPregelBenchmark.pregelBfsParent,4,8,POWER_LAW,5000000,UNDIRECTED,avgt,10,17136.766,1324.967,ms/op
