Benchmark,avgDegree,concurrency,dampingFactor,nodeCountIterationCombinations,orientation,tolerance,Mode,Cnt,Score,Error,Units
weightedPageRank.WeightedPageRankEjmlBenchmark.ejml,4,1,0.85,1M;10,Natural,1e-32,avgt,10,294.981,4.921,ms/op
weightedPageRank.WeightedPageRankEjmlBenchmark.ejml,4,1,0.85,1M;15,Natural,1e-32,avgt,10,413.944,9.990,ms/op
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,1,0.85,0.1M;20,Natural,1e-32,avgt,10,133.605,1.729,ms/op
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,1,0.85,0.5M;20,Natural,1e-32,avgt,10,708.350,62.329,ms/op
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,1,0.85,1M;20,Natural,1e-32,avgt,10,1139.739,175.901,ms/op
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,1,0.85,5M;20,Natural,1e-32,avgt,10,5008.349,461.310,ms/op
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,1,0.85,1M;5,Natural,1e-32,avgt,10,489.772,86.521,ms/op
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,1,0.85,1M;10,Natural,1e-32,avgt,10,966.748,142.058,ms/op
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,1,0.85,1M;15,Natural,1e-32,avgt,10,1464.134,28.364,ms/op
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,8,0.85,0.1M;20,Natural,1e-32,avgt,10,551.408,24.154,ms/op
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,8,0.85,0.5M;20,Natural,1e-32,avgt,10,1392.052,107.132,ms/op
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,8,0.85,1M;20,Natural,1e-32,avgt,10,2643.732,200.634,ms/op
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,8,0.85,5M;20,Natural,1e-32,avgt,10,11810.605,1208.850,ms/op
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,8,0.85,1M;5,Natural,1e-32,avgt,10,1549.242,298.573,ms/op
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,8,0.85,1M;10,Natural,1e-32,avgt,10,2160.252,95.270,ms/op
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,8,0.85,1M;15,Natural,1e-32,avgt,10,2552.434,409.118,ms/op
weightedPageRank.WeightedPageRankNativeBenchmark.jni,4,1,0.85,0.1M;20,Natural,1e-32,avgt,10,81.149,0.326,ms/op
weightedPageRank.WeightedPageRankNativeBenchmark.jni,4,1,0.85,0.5M;20,Natural,1e-32,avgt,10,462.589,1.401,ms/op
weightedPageRank.WeightedPageRankNativeBenchmark.jni,4,1,0.85,1M;20,Natural,1e-32,avgt,10,1021.240,2.777,ms/op
weightedPageRank.WeightedPageRankNativeBenchmark.jni,4,1,0.85,5M;20,Natural,1e-32,avgt,10,8613.087,60.455,ms/op
weightedPageRank.WeightedPageRankNativeBenchmark.jni,4,1,0.85,1M;5,Natural,1e-32,avgt,10,413.692,3.530,ms/op
weightedPageRank.WeightedPageRankNativeBenchmark.jni,4,1,0.85,1M;10,Natural,1e-32,avgt,10,619.798,4.456,ms/op
weightedPageRank.WeightedPageRankNativeBenchmark.jni,4,1,0.85,1M;15,Natural,1e-32,avgt,10,811.120,4.900,ms/op
weightedPageRank.WeightedPageRankNativeBenchmark.jni,4,8,0.85,0.1M;20,Natural,1e-32,avgt,10,71.955,1.338,ms/op
weightedPageRank.WeightedPageRankNativeBenchmark.jni,4,8,0.85,0.5M;20,Natural,1e-32,avgt,10,176.491,9.163,ms/op
weightedPageRank.WeightedPageRankNativeBenchmark.jni,4,8,0.85,1M;20,Natural,1e-32,avgt,10,234.140,2.993,ms/op
weightedPageRank.WeightedPageRankNativeBenchmark.jni,4,8,0.85,5M;20,Natural,1e-32,avgt,10,2080.636,95.348,ms/op
weightedPageRank.WeightedPageRankNativeBenchmark.jni,4,8,0.85,1M;5,Natural,1e-32,avgt,10,105.170,4.892,ms/op
weightedPageRank.WeightedPageRankNativeBenchmark.jni,4,8,0.85,1M;10,Natural,1e-32,avgt,10,141.558,7.739,ms/op
weightedPageRank.WeightedPageRankNativeBenchmark.jni,4,8,0.85,1M;15,Natural,1e-32,avgt,10,213.228,9.640,ms/op
weightedPageRank.WeightedPageRankJGraphTBenchmark.jGraphT,4,1,0.85,0.1M;20,Natural,1e-32,avgt,10,1101.738,55.911,ms/op
weightedPageRank.WeightedPageRankJGraphTBenchmark.jGraphT,4,1,0.85,0.5M;20,Natural,1e-32,avgt,10,7110.613,2155.290,ms/op
weightedPageRank.WeightedPageRankJGraphTBenchmark.jGraphT,4,1,0.85,1M;20,Natural,1e-32,avgt,10,11975.535,402.941,ms/op
weightedPageRank.WeightedPageRankJGraphTBenchmark.jGraphT,4,1,0.85,5M;20,Natural,1e-32,avgt,10,66584.030,4287.600,ms/op
weightedPageRank.WeightedPageRankJGraphTBenchmark.jGraphT,4,1,0.85,1M;5,Natural,1e-32,avgt,10,4674.536,1261.475,ms/op
weightedPageRank.WeightedPageRankJGraphTBenchmark.jGraphT,4,1,0.85,1M;10,Natural,1e-32,avgt,10,6955.204,1138.066,ms/op
weightedPageRank.WeightedPageRankJGraphTBenchmark.jGraphT,4,1,0.85,1M;15,Natural,1e-32,avgt,10,9189.231,301.035,ms/op
weightedPageRank.WeightedPageRankGdsBenchmark.gds,4,1,0.85,0.1M;20,Undirected,1e-32,avgt,10,244.282,14.439,ms/op
